REQ_SERIAL,RISUID,reson  bik,tavalod,tahol,ttakafol,basavad-bisavad,RQ_RLDATE,elat-gath,RISUID,edu,mablag,age,label 
2.57E+12,43282506,2,13610701,2,0,1,,1,43282506,,3030000,36,1
2.57E+12,43267213,1,13590701,2,1,1,13,1,43267213,14,2196000,38,1
2.57E+12,43275507,2,13540104,2,3,1,,1,43275507,17,6089100,43,1
2.57E+12,27213647,1,13350902,2,4,1,,1,27213647,,3030000,61,1
2.57E+12,43257422,1,13340217,2,4,1,13,1,43257422,,2196000,63,1
2.57E+12,43287750,2,13551204,2,2,1,,1,43287750,20,3897000,41,1
2.57E+12,42017598,6,13330110,2,4,1,,1,42017598,,3303000,64,1
2.57E+12,42072990,1,13560410,2,2,1,13,1,42072990,,2196000,41,1
2.57E+12,43287678,6,13660521,1,0,1,,1,43287678,,3897000,31,1
2.57E+12,43273973,1,13560902,2,1,1,13,1,43273973,,2196000,40,1
2.57E+12,43286648,2,13630630,2,1,1,,1,43286648,,7124250,34,1
2.57E+12,43411127,1,13561023,2,2,1,13,1,43411127,14,8121660,40,1
2.57E+12,43411127,1,13561023,2,2,1,13,1,43411127,14,2196000,40,1
2.57E+12,43411127,12,13561023,2,2,1,,1,43411127,14,8121660,40,1
2.57E+12,43411127,12,13561023,2,2,1,,1,43411127,14,2196000,40,1
2.57E+12,43262288,1,13440625,2,0,1,13,1,43262288,,2196000,53,1
2.57E+12,21729393,1,13580614,2,2,1,,1,21729393,,2635200,39,1
2.57E+12,43287726,6,13610929,2,0,1,,1,43287726,,3897000,35,1
2.57E+12,43268255,1,13540801,2,2,1,13,1,43268255,,853380,42,1
2.57E+12,43268255,1,13540801,2,2,1,13,1,43268255,,2196000,42,1
2.57E+12,43268255,1,13540801,2,2,1,13,1,43268255,,2196000,42,1
2.57E+12,43268255,1,13540801,2,2,1,13,1,43268255,,853380,42,1
2.57E+12,43268255,1,13540801,2,2,1,13,1,43268255,,2196000,42,1
2.57E+12,43268255,1,13540801,2,2,1,13,1,43268255,,2196000,42,1
2.57E+12,97035791,12,13591220,2,2,1,,1,97035791,,9002195,37,1
2.57E+12,97035791,12,13591220,2,2,1,,1,97035791,,6363365,37,1
2.57E+12,97035791,3,13591220,2,2,1,,1,97035791,,9002195,37,1
2.57E+12,97035791,3,13591220,2,2,1,,1,97035791,,6363365,37,1
2.57E+12,43287867,2,13590901,2,1,1,,1,43287867,13,3030000,37,1
2.57E+12,43271647,1,13510301,2,3,1,13,1,43271647,,2196000,46,1
2.57E+12,43352401,1,13630401,1,0,1,13,1,43352401,,2196000,34,1
2.57E+12,43270879,1,13570310,2,1,1,13,1,43270879,,2196000,40,1
2.57E+12,43267850,1,13480625,2,4,1,13,1,43267850,,2196000,49,1
2.57E+12,43287783,2,13550407,3,1,1,,1,43287783,20,4871250,42,1
2.57E+12,43261571,1,13270103,2,2,2,13,1,43261571,,2196000,70,1
2.57E+12,43270868,1,13100709,2,4,2,13,1,43270868,,2196000,86,1
2.57E+12,43287851,12,13640526,2,1,1,,1,43287851,,3303000,33,1
2.57E+12,43275361,1,13620515,2,1,1,13,1,43275361,17,2196000,35,1
2.57E+12,43275361,1,13620515,2,1,1,13,1,43275361,17,2196000,35,1
2.57E+12,43275361,1,13620515,2,2,1,,1,43275361,17,2196000,35,1
2.57E+12,43275361,1,13620515,2,2,1,,1,43275361,17,2196000,35,1
2.57E+12,10434025,2,13620101,2,1,1,,1,10434025,,3030000,35,1
2.57E+12,10448828,2,13560815,2,1,1,,1,10448828,,2635200,40,1
2.57E+12,10433487,2,13621212,1,0,1,,1,10433487,,2635200,34,1
2.57E+12,43268554,1,13580509,2,1,1,13,1,43268554,,2196000,39,1
2.57E+12,42513253,1,13291201,2,3,2,,1,42513253,,3030000,67,1
2.57E+12,14101582,1,13600620,1,0,1,,1,14101582,,2635200,37,1
2.57E+12,43287834,2,13620912,2,4,1,,1,43287834,17,9299310,34,1
2.57E+12,43287832,2,13330402,2,2,1,,1,43287832,,3897000,64,1
2.57E+12,26321207,2,13450411,2,2,1,,1,26321207,,3030000,52,1
2.57E+12,43262929,1,13510120,2,2,2,13,1,43262929,,2196000,46,1
2.57E+12,13590544,2,13690130,2,2,1,,1,13590544,14,8121660,28,1
2.57E+12,43287917,2,13421107,2,2,1,,1,43287917,13,3897000,54,1
2.57E+12,43269520,1,13570231,2,2,1,13,1,43269520,13,11112690,40,1
2.57E+12,43269520,1,13570231,2,2,1,13,1,43269520,13,2196000,40,1
2.57E+12,43269520,12,13570231,2,2,1,,1,43269520,13,11112690,40,1
2.57E+12,43269520,12,13570231,2,2,1,,1,43269520,13,2196000,40,1
2.57E+12,41701740,2,13610627,2,0,1,,1,41701740,,6089100,36,1
2.57E+12,43253955,1,13380605,2,3,1,,1,43253955,,6089100,59,1
2.57E+12,43253955,1,13380605,2,3,1,,1,43253955,,2635200,59,1
2.57E+12,43253955,12,13380605,2,3,1,,1,43253955,,6089100,59,1
2.57E+12,43253955,12,13380605,2,3,1,,1,43253955,,2635200,59,1
2.57E+12,43253955,1,13380605,2,3,1,,1,43253955,,6089100,59,1
2.57E+12,43253955,1,13380605,2,3,1,,1,43253955,,2635200,59,1
2.57E+12,43253955,12,13380605,2,3,1,,1,43253955,,6089100,59,1
2.57E+12,43253955,12,13380605,2,3,1,,1,43253955,,2635200,59,1
2.57E+12,40615985,2,13420415,2,2,1,,1,40615985,,3030000,55,1
2.57E+12,43287926,12,13661227,1,0,1,,1,43287926,17,8121660,30,1
2.57E+12,43266175,2,13550401,2,0,1,,1,43266175,,3030000,42,1
2.57E+12,43410665,1,13550110,2,1,1,13,1,43410665,,2196000,42,1
2.57E+12,43269295,2,13570616,1,0,1,,1,43269295,,3303000,40,1
2.57E+12,26414410,2,13650828,2,1,1,,1,26414410,,7124250,31,1
2.57E+12,26414410,2,13650828,2,1,1,,1,26414410,,3030000,31,1
2.57E+12,26414410,2,13650828,2,2,1,,1,26414410,,7124250,31,1
2.57E+12,26414410,2,13650828,2,2,1,,1,26414410,,3030000,31,1
2.57E+12,43278513,1,13600412,1,0,1,13,1,43278513,,2196000,37,1
2.57E+12,10436034,1,13611022,1,0,1,,1,10436034,,2635200,35,1
2.57E+12,10442857,2,13550510,2,2,1,,1,10442857,,2635200,42,1
2.57E+12,10448829,2,13631102,1,0,1,,1,10448829,,2635200,33,1
2.57E+12,43411719,12,13491201,2,4,1,,1,43411719,13,12515180,47,1
2.57E+12,10447272,2,13530502,2,2,1,,1,10447272,,2635200,44,1
2.57E+12,43273955,1,13410703,2,2,1,13,1,43273955,,2196000,55,1
2.57E+12,43250105,1,13271018,2,1,2,13,1,43250105,,2196000,69,1
2.57E+12,43250432,1,13280413,2,3,1,13,1,43250432,,2196000,69,1
2.57E+12,43268879,2,13621101,2,2,1,,1,43268879,17,7124250,34,1
2.57E+12,43418249,12,13600510,2,2,1,,1,43418249,13,3303000,37,1
2.57E+12,43418249,2,13600510,2,3,1,,1,43418249,13,3303000,37,1
2.57E+12,43418249,12,13600510,2,3,1,,1,43418249,13,3303000,37,1
2.57E+12,43264415,1,13510601,1,0,1,13,1,43264415,,2196000,46,1
